setup_id,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0000,1,38.4196,55.4136,999.0000,14.0000,COIN US Equity,long,0.0000,0.1304,0.0000,2023-04-28,2024-03-06,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND LLY US Equity_vs_SPY US Equity_corr_px_20d z_breakout_pos,"SIG_00889, SIG_00974"
SETUP_0001,1,33.2044,42.0881,999.0000,15.0000,COIN US Equity,long,0.0000,0.2535,0.0000,2020-03-17,2023-11-15,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND EEM US Equity_vs_SPY US Equity_corr_px_20d z_breakout_pos,"SIG_00889, SIG_01149"
SETUP_0002,1,31.2087,37.3724,999.0000,17.0000,COIN US Equity,long,0.0000,0.1264,0.0000,2020-01-09,2023-12-15,AMD US Equity_px_zscore_90d is_very_high_z AND WMT US Equity_px_zscore_90d is_very_low_z,"SIG_00451, SIG_00542"
SETUP_0004,1,29.3448,37.3776,999.0000,29.0000,CRWV US Equity,long,0.0000,0.4035,0.0000,2025-04-04,2025-05-15,XLV US Equity_vs_SPY US Equity_beta_px_60d is_low AND AAPL US Equity_realized_vol_21d is_high,"SIG_00906, SIG_00315"
SETUP_0008,1,23.8233,31.2016,130.1527,40.0000,MSTR US Equity,long,0.0000,0.2207,-0.0076,2020-12-17,2025-04-07,PLTR US Equity_realized_vol_21d is_high AND JPM US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00410, SIG_00984"
SETUP_0005,1,23.7429,26.7411,999.0000,33.0000,COIN US Equity,long,0.0000,0.5169,0.0000,2020-03-17,2024-02-27,MXWO Index_realized_vol_21d z_breakout_pos AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00707, SIG_00889"
SETUP_0006,1,22.1347,27.3148,249.7842,34.0000,ARM US Equity,long,0.0000,0.1914,-0.0030,2023-12-04,2024-07-02,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLE US Equity_realized_vol_21d is_low,"SIG_00889, SIG_00013"
SETUP_0009,1,20.7550,23.0918,999.0000,48.0000,TSLA US Equity,long,0.0000,0.4648,0.0000,2020-03-17,2023-12-21,XLP US Equity_frac_diff_px is_low AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00134, SIG_00889"
SETUP_0011,1,19.8453,25.5862,45.2637,87.0000,ARM US Equity,long,0.0000,0.2006,-0.0194,2020-05-28,2023-12-18,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00994, SIG_00889"
SETUP_0010,1,19.5972,22.7684,424.6651,61.0000,TSLA US Equity,long,0.0000,0.4590,-0.0035,2020-03-17,2023-11-14,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND RTY Index_px_zscore_90d is_low,"SIG_00889, SIG_00675"
SETUP_0012,1,16.3836,19.8722,57.2536,89.0000,ARM US Equity,long,0.0000,0.4723,-0.0211,2020-03-17,2024-02-14,MSTR US Equity_vs_SPY US Equity_beta_px_60d is_low AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_01056, SIG_00889"
SETUP_0013,1,14.4175,18.4341,27.7991,109.0000,PLTR US Equity,long,0.0000,0.3696,-0.0518,2020-03-17,2024-07-02,AMD US Equity_vs_SPY US Equity_beta_px_60d z_breakout_neg AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_01019, SIG_00889"
SETUP_0014,1,13.5849,16.8391,16.2340,155.0000,ARM US Equity,long,32.3500,0.2156,-0.0577,2018-07-16,2024-12-11,MSFT US Equity_px_zscore_90d is_very_high_z AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00285, SIG_00994"
SETUP_0003,1,13.5330,18.1613,1834.9407,20.0000,PLTR US Equity,long,0.0000,0.2934,-0.0002,2019-01-07,2025-04-14,XLE US Equity_realized_vol_21d z_breakout_pos AND LLY US Equity_vs_SPY US Equity_corr_px_20d z_breakout_pos AND MSFT US Equity_vs_SPY US Equity_corr_px_20d is_high,"SIG_00014, SIG_00974, SIG_00956"
SETUP_0007,1,13.3703,17.4690,4650.5640,39.0000,ARM US Equity,long,0.0000,0.5933,-0.0003,2020-03-17,2024-06-13,XLE US Equity_realized_vol_21d z_breakout_pos AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00014, SIG_00889"
SETUP_0015,1,6.2962,10.3860,4.8398,162.0000,CRWV US Equity,long,473.5785,0.6164,-0.3542,2018-12-24,2025-06-05,NKE US Equity_realized_vol_21d is_high AND JPM US Equity_vs_SPY US Equity_corr_px_20d is_high,"SIG_00523, SIG_00980"
SETUP_0017,1,3.3041,6.8988,2.9980,179.0000,CRWV US Equity,long,161.7656,0.7334,-0.6159,2018-12-24,2025-05-01,NKE US Equity_realized_vol_21d is_high AND NDX Index_px_zscore_90d is_low,"SIG_00523, SIG_00651"
SETUP_0019,1,3.2287,6.4501,2.7069,219.0000,CRWV US Equity,long,38.6541,0.6265,-0.4721,2018-02-16,2025-05-01,AAPL US Equity_realized_vol_21d is_high AND MSFT US Equity_vs_SPY US Equity_corr_px_20d is_high,"SIG_00315, SIG_00956"
SETUP_0016,1,3.1043,6.8197,3.0151,165.0000,CRWV US Equity,long,75.4666,0.6650,-0.3430,2018-10-11,2025-05-01,MXWO Index_realized_vol_21d z_breakout_pos AND XLK US Equity_px_zscore_90d is_low,"SIG_00707, SIG_00029"
SETUP_0018,1,2.9056,6.6357,2.8982,185.0000,CRWV US Equity,long,67.3799,0.6602,-0.4836,2018-12-24,2025-05-09,AAPL US Equity_realized_vol_21d is_high AND NKE US Equity_realized_vol_21d is_high,"SIG_00315, SIG_00523"
SETUP_0020,1,2.8464,6.0857,2.5511,240.0000,CRWV US Equity,long,36.9117,0.6700,-0.5620,2018-02-16,2025-05-08,XLP US Equity_realized_vol_21d is_high AND AAPL US Equity_realized_vol_21d is_high,"SIG_00129, SIG_00315"
SETUP_0021,1,-5.9263,-3.2868,0.5856,357.0000,CRWV US Equity,short,-0.9149,0.6560,-0.9839,2018-03-23,2025-05-01,XLK US Equity_px_zscore_90d is_low AND NDX Index_px_zscore_90d is_low,"SIG_00029, SIG_00651"
